sample,signal,definition,horizon,periods,pairs,mean_ic,median_ic,ic_std,hit_rate,hac_t_stat,pvalue,base_signal
orthogonalized,operating_profitability_approx__net_bm,Operating income / book equity; ROE fallback for financials; orthogonalized to B/M,1m,49,2399,0.03945363727067866,0.020472916824053788,0.213254832857382,0.5714285714285714,1.5225042937912632,0.1278827703543306,operating_profitability_approx
orthogonalized,operating_profitability_approx__net_bm,Operating income / book equity; ROE fallback for financials; orthogonalized to B/M,3m,47,2265,0.0411283262164855,0.05467032967032967,0.15994177788882927,0.5957446808510638,1.230294761173003,0.2185867453969701,operating_profitability_approx
orthogonalized,operating_profitability_approx__net_bm,Operating income / book equity; ROE fallback for financials; orthogonalized to B/M,6m,44,2064,0.048470056569669545,0.08403590944574552,0.1871284596142925,0.6363636363636364,0.927549003957012,0.35364156103923916,operating_profitability_approx
orthogonalized,operating_profitability_approx__net_bm,Operating income / book equity; ROE fallback for financials; orthogonalized to B/M,12m,38,1673,0.13359050903561337,0.1760721210747652,0.12871378077629303,0.8947368421052632,4.486826928688321,7.2291752160058564e-06,operating_profitability_approx
orthogonalized,operating_profitability_approx__net_bm_size_liq,Operating income / book equity; ROE fallback for financials; orthogonalized to B/M+size+liquidity,1m,36,2254,0.05152421639507503,0.051547111488340736,0.1418664112456083,0.6666666666666666,2.0702069548420696,0.03843296826363751,operating_profitability_approx
orthogonalized,operating_profitability_approx__net_bm_size_liq,Operating income / book equity; ROE fallback for financials; orthogonalized to B/M+size+liquidity,3m,34,2120,0.07243991801266232,0.08317623497235448,0.11857200385192752,0.7352941176470589,2.7468498093583933,0.006017068168827855,operating_profitability_approx
orthogonalized,operating_profitability_approx__net_bm_size_liq,Operating income / book equity; ROE fallback for financials; orthogonalized to B/M+size+liquidity,6m,31,1919,0.08260536633573767,0.09410490796001109,0.10592866318153431,0.7741935483870968,3.2000235271141664,0.0013741636986237538,operating_profitability_approx
orthogonalized,operating_profitability_approx__net_bm_size_liq,Operating income / book equity; ROE fallback for financials; orthogonalized to B/M+size+liquidity,12m,25,1528,0.12074259393479451,0.13270352875798838,0.0633056763614103,0.96,7.377943598997408,1.6076029396572267e-13,operating_profitability_approx
orthogonalized,gross_profitability__net_bm,Gross profit / total assets; orthogonalized to B/M,1m,36,1807,-0.012037372937814239,-0.015162881267209789,0.19070320364529209,0.4722222222222222,-0.37781139599529134,0.7055707073471917,gross_profitability
orthogonalized,gross_profitability__net_bm,Gross profit / total assets; orthogonalized to B/M,3m,34,1699,-0.05494190651653928,-0.0995330466331974,0.19635743639403413,0.35294117647058826,-1.1799390598919113,0.2380244532618383,gross_profitability
orthogonalized,gross_profitability__net_bm,Gross profit / total assets; orthogonalized to B/M,6m,31,1537,-0.09849839483188726,-0.12326530612244896,0.16629923868228835,0.1935483870967742,-2.021987844996883,0.043177607593804845,gross_profitability
