sample,signal,definition,horizon,periods,pairs,mean_ic,median_ic,ic_std,hit_rate,hac_t_stat,pvalue,base_signal
orthogonalized,cashflow_price__net_bm_size_liq,Operating cash flow / market cap; orthogonalized to B/M+size+liquidity,3m,34,1629,0.07727843378605734,0.099080547112462,0.14443050808895816,0.7647058823529411,2.5941121358430137,0.009483555027398616,cashflow_price
orthogonalized,cashflow_price__net_bm_size_liq,Operating cash flow / market cap; orthogonalized to B/M+size+liquidity,6m,31,1473,0.07907051637351013,0.09516651248843665,0.1162301303881664,0.7096774193548387,3.6924723338461263,0.00022208450688809833,cashflow_price
orthogonalized,cashflow_price__net_bm_size_liq,Operating cash flow / market cap; orthogonalized to B/M+size+liquidity,12m,25,1173,0.10801055127426709,0.11771507863089732,0.101070064053127,0.84,3.027047080251171,0.0024695549153759266,cashflow_price
orthogonalized,sales_price__net_bm,Revenue / market cap; orthogonalized to B/M,1m,49,2399,-0.011935811646256301,-0.008566807998042741,0.21445716700600254,0.42857142857142855,-0.4081956907379084,0.6831300116166936,sales_price
orthogonalized,sales_price__net_bm,Revenue / market cap; orthogonalized to B/M,3m,47,2265,0.0023781923731106655,-0.026844285518553022,0.19731470782484686,0.44680851063829785,0.06057310466784184,0.951699193546403,sales_price
orthogonalized,sales_price__net_bm,Revenue / market cap; orthogonalized to B/M,6m,44,2064,0.04208483172582164,-0.002503122794771717,0.19125234837954297,0.5,0.8123697699037603,0.416579487038673,sales_price
orthogonalized,sales_price__net_bm,Revenue / market cap; orthogonalized to B/M,12m,38,1673,0.1332428389341025,0.15672177385057667,0.12453773917009789,0.8421052631578947,3.4994860421420655,0.0004661560095979844,sales_price
orthogonalized,sales_price__net_bm_size_liq,Revenue / market cap; orthogonalized to B/M+size+liquidity,1m,36,2254,0.0005429333833164944,-0.011587628065603005,0.15313799650362456,0.4444444444444444,0.021602880679353464,0.98276473561916,sales_price
orthogonalized,sales_price__net_bm_size_liq,Revenue / market cap; orthogonalized to B/M+size+liquidity,3m,34,2120,0.008313178959388235,-0.012267501454755685,0.14330732957562606,0.4411764705882353,0.2789884955040963,0.7802536536401288,sales_price
orthogonalized,sales_price__net_bm_size_liq,Revenue / market cap; orthogonalized to B/M+size+liquidity,6m,31,1919,0.029154725935817978,0.0389060965475561,0.11494068314765869,0.6129032258064516,0.8039578443189044,0.42142132148417444,sales_price
