sample,signal,definition,horizon,periods,pairs,mean_ic,median_ic,ic_std,hit_rate,hac_t_stat,pvalue,fdr_qvalue,fdr_reject_10pct,top_bottom_spread,net_sharpe,max_drawdown,turnover,observations,dates,symbols,avg_names_per_date,bottom_return,middle_return,top_return,monotonic,group
native,sales_price,Revenue / market cap,6m,56,2266,0.0174574317519725,0.06508905656149151,0.2692898617187043,0.5892857142857143,0.24277971739775392,0.8081760487322165,0.8449113236745899,False,0.1416732284336345,1.3761096736390799,-0.29012097907245427,0.09155087665957233,2761,63,70,43.82539682539682,0.0626753153568035,0.12827818970335458,0.19080228900262408,True,value
native,piotroski_lite,Existing PIT Piotroski-lite score,6m,70,2485,-0.010099169658824292,0.014298820687474706,0.2705326323207642,0.5142857142857142,-0.18509401109826337,0.8531552988989244,0.8531552988989243,False,-0.031276040065693865,-0.3367520835731146,-0.9524256900638152,0.12035694866440207,2987,77,71,38.79220779220779,0.10904509363124067,0.0989402997164519,0.08845899019315026,False,profitability_quality
native,short_reversal,-prior 21 trading-day return,6m,69,2347,-0.01706468466520014,-0.006060606060606061,0.2971712352168675,0.4927536231884058,-0.46649591267982743,0.6408605725641905,0.8449113236745899,False,-0.038646972391773414,-0.36022540128461733,-0.9862366774240052,0.8214309712102796,2839,76,71,37.35526315789474,0.1281128434817327,0.10214473807323945,0.09231235177731552,False,market_behavior
native,operating_profitability_approx,Operating income / book equity; ROE fallback for financials,6m,70,2273,-0.019412302689299197,-0.08683034666590626,0.3172475611541724,0.44285714285714284,-0.2706519877828411,0.7866587070746858,0.8449113236745899,False,-0.10828203019717014,-1.2579018644187359,-0.9955568556826682,0.09344413162594982,2754,77,68,35.76623376623377,0.15801395127206178,0.1205419763776847,0.054622302692134306,False,profitability_quality
native,roa_standalone,Net income / total assets or stored ROA,6m,70,2379,-0.020538099882227222,-0.03511976505901289,0.3022277933149101,0.4714285714285714,-0.3152825270875264,0.7525471503624903,0.8449113236745899,False,-0.11593915195699145,-1.145237641843263,-0.9980343895716411,0.06577900031457344,2881,77,71,37.41558441558441,0.17327774055842443,0.14238085494351646,0.059260661013246965,False,profitability_quality
native,roe_standalone,Net income / book equity or stored ROE,6m,70,2379,-0.03239048968487585,-0.10463500366098233,0.3259468560000048,0.42857142857142855,-0.42727373164837273,0.6691799633676747,0.8449113236745899,False,-0.11854375899551489,-1.1682255311934877,-0.9974564258670486,0.0789487430297707,2881,77,71,37.41558441558441,0.19657373338632017,0.09891072624086009,0.07712811614373151,False,profitability_quality
native,accrual_quality,-(Net income - CFO) / assets,6m,44,2158,-0.039041134611566976,0.03063265411276052,0.2419666062052772,0.5681818181818182,-0.5343769905062051,0.593080735074613,0.8449113236745899,False,0.03197038140450991,0.280718649483324,-0.7503153120383612,0.09684666042126516,2646,51,69,51.88235294117647,0.12357296424938212,0.10438804384010957,0.15032062233801288,False,profitability_quality
native,beta_low,-market beta over 252 days,6m,64,2073,-0.07864814242188058,-0.12495373545603111,0.3741500433084128,0.3125,-0.8596429370270163,0.38998589886411206,0.7474729728228815,False,-0.08018027116589171,-0.46805250148609856,-0.9998804952504329,0.1993735215153412,2561,71,69,36.070422535211264,0.18176327249502916,0.09147653753542971,0.1030812193733293,False,risk_size
native,size_log_mcap,log(MarketCap),6m,56,2290,-0.0839288745610408,-0.10870986136379127,0.28779448600573526,0.35714285714285715,-1.301348371323795,0.1931392371198557,0.5552753067195851,False,-0.15637618755333632,-1.083502229599387,-0.999986254688926,0.046988014573418294,2785,63,70,44.20634920634921,0.18301522735564366,0.09571476119228366,0.03471044800371017,False,risk_size
native,conservative_investment,-asset growth,6m,68,2318,-0.08436820156286103,0.0007782334111273307,0.32520779421292495,0.5,-1.1495975815748116,0.25030965472549394,0.575712205868636,False,0.07562703662805609,0.9779230393957542,-0.352569023057531,0.14784029146772995,2820,75,71,37.6,0.08047954084077046,0.12880768000771856,0.15826385917359678,True,investment
