symbol,as_of_date,fair_value,close,valuation_gap,usable_model_count,confidence_score,warnings
BCP,2025-09-30,255.73963912575942,295.0,-0.1330859690652223,3,0.6646916055696553,ic_weight_fallback_for_uncovered_models
BOA,2025-09-30,227.88187970181787,255.0,-0.10634556979679266,3,0.7318674749102965,ic_weight_fallback_for_uncovered_models
CDM,2025-09-30,822.3077695963941,1009.0,-0.18502698751596225,3,0.7674685314620004,ic_weight_fallback_for_uncovered_models
CFG,2025-09-30,74.31574438044018,241.1,-0.6917638142661129,3,0.8216943051565715,ic_weight_fallback_for_uncovered_models
CIH,2025-09-30,267.3698541890163,426.5,-0.37310702417581176,3,0.8366476284333502,ic_weight_fallback_for_uncovered_models
CMG,2025-09-30,116.41638973147406,397.0,-0.7067597235983021,5,0.8196287431792639,ic_weight_fallback_for_uncovered_models
CMT,2025-09-30,800.6541055806766,2700.0,-0.7034614423775272,3,0.8589561017192138,fcff_dcf_terminal_value_dominates_dcf;fcfe_dcf_terminal_value_dominates_dcf;ddm_excluded_cross_model_outlier;ic_weight_fallback_for_uncovered_models;headline_review_shared_input_bias
COL,2025-09-30,42.10740522700073,90.98,-0.5371795424598733,4,0.6873965864807002,fcff_dcf_severe_fcf_quality_warning;fcfe_dcf_severe_fcf_quality_warning;ic_weight_fallback_for_uncovered_models
CRS,2025-09-30,37.44650479203931,37.9,-0.011965572769411237,1,0.72,headline_review_shared_input_bias
CSR,2025-09-30,104.41291011502433,214.0,-0.5120892050699797,6,0.8173628880890678,ic_weight_fallback_for_uncovered_models
CTM,2025-09-30,1155.107978323329,954.0,0.21080500872466357,3,0.8336846794904496,fcff_dcf_terminal_value_dominates_dcf;fcfe_dcf_terminal_value_dominates_dcf;residual_income_excluded_cross_model_outlier;ic_weight_fallback_for_uncovered_models
DHO,2025-09-30,21.662324419896358,79.0,-0.7257933617734638,6,0.8836955859054536,ic_weight_fallback_for_uncovered_models
DWY,2025-09-30,550.5793683213489,953.0,-0.4222671895893506,4,0.7314040496515126,ic_weight_fallback_for_uncovered_models
DYT,2025-09-30,377.1276044067847,400.0,-0.05718098898303825,4,0.8074262482496843,ic_weight_fallback_for_uncovered_models
EQD,2025-09-30,,1300.0,,0,,no_usable_valuation_models
FBR,2025-09-30,,433.9,,3,0.7581984553443923,fcff_dcf_terminal_value_dominates_dcf;fcfe_dcf_terminal_value_dominates_dcf;ic_weight_fallback_for_uncovered_models;headline_review_required_extreme_upside;headline_review_weak_model_coverage
GAZ,2025-09-30,1736.2720066853103,4200.0,-0.5866019031701641,6,0.806321564926632,ic_weight_fallback_for_uncovered_models
