sample,signal,definition,horizon,periods,pairs,mean_ic,median_ic,ic_std,hit_rate,hac_t_stat,pvalue
native,book_to_market,A1 PIT book equity / PIT market cap,3m,59,2349,0.13449376836659332,0.12529275772657797,0.23100290152946623,0.7796610169491526,3.671296656894451,0.00024132303611024142
native,book_to_market,A1 PIT book equity / PIT market cap,6m,56,2148,0.1848579067508153,0.2337944747085109,0.2218171010729351,0.8035714285714286,3.85406029341372,0.00011617496594040766
native,book_to_market,A1 PIT book equity / PIT market cap,12m,50,1757,0.3501265759994335,0.31861249218960197,0.29068777971485055,0.88,3.3161547568086265,0.0009126527445291188
native,profitability,"A3 profitability approximation: financial ROE, non-financial operating profit/book or ROA fallback",1m,75,2734,0.010324386106158294,0.027972027972027972,0.309590077726027,0.5733333333333334,0.3055259684421737,0.7599655949076063
native,profitability,"A3 profitability approximation: financial ROE, non-financial operating profit/book or ROA fallback",3m,73,2592,0.05951331392996963,0.07709732633784379,0.2889130376726182,0.589041095890411,1.3025750013551816,0.19271989695035874
native,profitability,"A3 profitability approximation: financial ROE, non-financial operating profit/book or ROA fallback",6m,70,2379,0.08699075450911566,0.017508462545337933,0.32054017406017504,0.5142857142857142,1.1131007836730469,0.265665147160707
native,profitability,"A3 profitability approximation: financial ROE, non-financial operating profit/book or ROA fallback",12m,64,1964,-0.00552566432029826,-0.06825324604064359,0.32841545795921995,0.390625,-0.05567224871220988,0.9556029075238033
native,investment_conservative,A4 negative asset growth for non-financials,1m,49,1943,-0.02231384952256129,-0.01246691145077278,0.23038730528875387,0.46938775510204084,-0.7691950206793534,0.44177754594007546
native,investment_conservative,A4 negative asset growth for non-financials,3m,47,1835,-0.043521692235680295,-0.03289749561651737,0.2614417019767552,0.40425531914893614,-0.7735906184794574,0.4391729216967124
native,investment_conservative,A4 negative asset growth for non-financials,6m,44,1673,0.023469187570422226,0.07182680841700823,0.21375966057466791,0.6363636363636364,0.49883728364677593,0.6178940195194105
native,investment_conservative,A4 negative asset growth for non-financials,12m,38,1355,-0.04105496266231245,0.05436917380116229,0.294752257860962,0.5789473684210527,-0.38847081235168873,0.6976676497546603
native,op_margin_change,C delta operating margin,1m,48,2358,-0.01292767332452957,-0.0392499133941793,0.26666614597182253,0.4166666666666667,-0.4634799924035233,0.6430203527884977
native,op_margin_change,C delta operating margin,3m,46,2222,0.015270061940457116,0.012960893484257031,0.2899089423870898,0.5217391304347826,0.3309684804871098,0.7406682939928746
native,op_margin_change,C delta operating margin,6m,43,2021,-0.015147340855036169,0.0,0.2339181087467537,0.4883720930232558,-0.32316003370723356,0.7465740468285398
native,op_margin_change,C delta operating margin,12m,37,1630,-0.11876757348307805,0.012830209637729247,0.37566364873601416,0.5405405405405406,-0.8101982657099304,0.41782623409668807
native,roe_change,C delta ROE,1m,73,2529,-0.01558900892503018,-0.008113103391408798,0.35227441839278945,0.4931506849315068,-0.3648730087691375,0.7152062032074964
native,roe_change,C delta ROE,3m,71,2393,0.026051204220491734,-0.023007223929355676,0.3541149784415067,0.4647887323943662,0.433198804742845,0.6648703471493516
native,roe_change,C delta ROE,6m,68,2189,0.06341658510950081,-0.026086579319373623,0.426181755303028,0.4264705882352941,0.6445050492882328,0.519247984439773
native,roe_change,C delta ROE,12m,62,1792,0.17818877281454876,-0.020055625940187356,0.4429933615339677,0.43548387096774194,1.3480857369845536,0.17763080833393774
native,roa_change,C delta ROA,1m,73,2673,-0.0077319843225178864,0.00012788307846176624,0.3683719197619982,0.5068493150684932,-0.18299351712806564,0.8548031053126097
native,roa_change,C delta ROA,3m,71,2531,0.006802772017989601,-0.030583274244771568,0.36295592352310074,0.4225352112676056,0.10720395226563637,0.9146271800471557
native,roa_change,C delta ROA,6m,68,2318,0.044361759476329574,-0.03052456664364469,0.426729285989448,0.45588235294117646,0.432647918200896,0.6652705718710488
native,roa_change,C delta ROA,12m,62,1903,0.14071362527084463,-0.017100620669163333,0.4196182078660808,0.43548387096774194,1.0935687441984467,0.27414416369735584
native,cashflow_conversion_change,C delta CFO/net-income conversion,1m,37,2021,0.019094124031010552,0.01649560845607968,0.14434675108471484,0.5675675675675675,0.808732339704231,0.41866912200866935
native,cashflow_conversion_change,C delta CFO/net-income conversion,3m,35,1896,0.03356719371506579,0.051621444176564106,0.17511451976828799,0.5714285714285714,1.0774440255068456,0.28128194467371204
native,cashflow_conversion_change,C delta CFO/net-income conversion,6m,32,1716,0.10244826425167075,0.13140821139684208,0.0924633501406993,0.8125,4.239934690470397,2.2358482813622516e-05
native,cashflow_conversion_change,C delta CFO/net-income conversion,12m,26,1374,0.09653694549965104,0.09432496267423238,0.10987585325370161,0.8076923076923077,5.60913615060447,2.0333901229463436e-08
native,revenue_growth,C latest revenue growth,1m,73,2709,0.028496922577918107,-0.0022774768072760304,0.28705907996746294,0.4931506849315068,0.8859429448500343,0.37564827303154136
native,revenue_growth,C latest revenue growth,3m,71,2567,0.09675181884153417,0.027332417182840536,0.3074978912567219,0.5352112676056338,1.761891512821195,0.07808762885887655
