method,fold,fwd_horizon,n,utility_mean,utility_sum,ic,ic_tstat,hit_rate,coverage,cost_bps,train_start,train_end,test_start,test_end
topsis_action,0,10,1085,0.0026880182712539233,2.916499824310507,-0.02779138304984852,-0.4320656599483623,0.5174537987679672,0.4488479262672811,10.0,2002-03-04,2002-09-30,2002-10-18,2007-04-24
ahp_topsis_prior,0,10,1085,-0.007758880232254785,-8.418385051996442,0.022484277730774743,0.3628580445904385,0.42764976958525347,1.0,10.0,2002-03-04,2002-09-30,2002-10-18,2007-04-24
baseline_fixed,1,10,1913,-0.0013643597191638909,-2.6100201427605234,-0.04075473555704829,-0.8439421987916643,0.48501978518937255,0.9247255619445897,10.0,2002-03-04,2007-04-10,2007-04-25,2011-03-24
threshold_optimized,1,10,1913,0.0005277105678520857,1.00951031630104,-0.04075473555704829,-0.8439421987916643,0.5109529025191676,0.9545216936748563,10.0,2002-03-04,2007-04-10,2007-04-25,2011-03-24
ridge_linear,1,10,1913,0.0012805456673987455,2.4496838617338,-0.0071990376638303875,-0.1636187330489045,0.5152354570637119,0.7548353371667538,10.0,2002-03-04,2007-04-10,2007-04-25,2011-03-24
isotonic_calibrated,1,10,1913,2.6708829062176076e-07,0.0005109398999594283,-0.02919586433971736,-0.6072795778195195,0.509147935180345,1.0,10.0,2002-03-04,2007-04-10,2007-04-25,2011-03-24
topsis_category,1,10,1913,0.0004324868730800261,0.8273473882020899,-0.04492299898160172,-0.9560851770680955,0.5091012514220705,0.9189754312598014,10.0,2002-03-04,2007-04-10,2007-04-25,2011-03-24
topsis_action,1,10,1913,-0.0010643751618076359,-2.0361496845380076,-0.05445685167895719,-1.1449159399901365,0.46846846846846846,0.5802404600104548,10.0,2002-03-04,2007-04-10,2007-04-25,2011-03-24
ahp_topsis_prior,1,10,1913,-0.0007546433412554558,-1.443632711821687,-0.04375429858314529,-0.9300829370939213,0.498170412963931,1.0,10.0,2002-03-04,2007-04-10,2007-04-25,2011-03-24
baseline_fixed,2,10,974,0.0029777685546325213,2.900346572212076,0.16123226104439853,2.3071670447044075,0.5539739027283511,0.8655030800821355,10.0,2002-03-04,2011-03-10,2011-03-25,2018-06-18
