method,fold,fwd_horizon,threshold_strong_sell,threshold_sell,threshold_buy,threshold_strong_buy,metadata
threshold_optimized,3,6,-80.0,-75.0,-66.666667,-60.0,{}
ridge_linear,3,6,-80.0,0.0,30.0,43.217728,"{""feature_means"": {""momentum"": 8.962148962148962, ""oscillation"": -7.301587301587301, ""tendance"": 10.695970695970695, ""volume"": 17.02075702075702}, ""feature_stds"": {""momentum"": 98.611965250775, ""oscillation"": 35.12295701976964, ""tendance"": 95.22355482127371, ""volume"": 90.37116955697104}}"
isotonic_calibrated,3,6,-80.0,-60.0,30.0,50.0,"{""increasing"": true, ""x_thresholds"": [-100.0, -75.0, -66.66666666666667, 0.0, 25.0, 100.0], ""y_thresholds"": [-0.02017628720603509, 0.0008511324187152776, 0.0024385771519765927, 0.0024385771519765927, 0.004433204615360938, 0.004433204615360938]}"
topsis_category,3,6,-88.052406,-80.0,-13.079271,0.0,"{""criteria"": [[0.035668329562561406, 1.2220620228389576, 0.002667536730703844, 1.0, 0.9181929181929182], [0.0023932735644014956, 0.07940061730511441, 0.0012820679775170595, 0.0, 0.9804639804639804], [0.0227700826086116, 0.7378268556802658, 0.00030349315073619973, 0.0, 0.12869352869352868], [0.039129691913618175, 1.280217482238812, 0.0028289113972274783, 1.0, 0.8456654456654457]], ""criteria_weights"": ""equal""}"
topsis_action,3,6,-50.0,-15.0,15.0,50.0,"{""bucket_action_stats"": {""buy"": {""buy"": {""hit_rate"": 0.5234375, ""mean_utility"": 0.004692786041881229, ""n"": 1152.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 1152.0}, ""sell"": {""hit_rate"": 0.4157986111111111, ""mean_utility"": -0.006692786041881231, ""n"": 1152.0}, ""strong_buy"": {""hit_rate"": 0.5234375, ""mean_utility"": 0.004692786041881229, ""n"": 1152.0}, ""strong_sell"": {""hit_rate"": 0.4157986111111111, ""mean_utility"": -0.006692786041881231, ""n"": 1152.0}}, ""hold"": {""buy"": {""hit_rate"": 0.46551724137931033, ""mean_utility"": -0.0009838852932105406, ""n"": 348.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 348.0}, ""sell"": {""hit_rate"": 0.46551724137931033, ""mean_utility"": -0.0010161147067894612, ""n"": 348.0}, ""strong_buy"": {""hit_rate"": 0.46551724137931033, ""mean_utility"": -0.0009838852932105406, ""n"": 348.0}, ""strong_sell"": {""hit_rate"": 0.46551724137931033, ""mean_utility"": -0.0010161147067894612, ""n"": 348.0}}, ""sell"": {""buy"": {""hit_rate"": 0.5091678420310296, ""mean_utility"": 0.002599191490606929, ""n"": 709.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 709.0}, ""sell"": {""hit_rate"": 0.4231311706629055, ""mean_utility"": -0.004599191490606929, ""n"": 709.0}, ""strong_buy"": {""hit_rate"": 0.5091678420310296, ""mean_utility"": 0.002599191490606929, ""n"": 709.0}, ""strong_sell"": {""hit_rate"": 0.4231311706629055, ""mean_utility"": -0.004599191490606929, ""n"": 709.0}}, ""strong_buy"": {""buy"": {""hit_rate"": 0.4871287128712871, ""mean_utility"": 0.001996533522933822, ""n"": 1010.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 1010.0}, ""sell"": {""hit_rate"": 0.43465346534653465, ""mean_utility"": -0.003996533522933825, ""n"": 1010.0}, ""strong_buy"": {""hit_rate"": 0.4871287128712871, ""mean_utility"": 0.001996533522933822, ""n"": 1010.0}, ""strong_sell"": {""hit_rate"": 0.43465346534653465, ""mean_utility"": -0.003996533522933825, ""n"": 1010.0}}, ""strong_sell"": {""buy"": {""hit_rate"": 0.4874429223744292, ""mean_utility"": -0.0005950519042246625, ""n"": 876.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 876.0}, ""sell"": {""hit_rate"": 0.4714611872146119, ""mean_utility"": -0.001404948095775339, ""n"": 876.0}, ""strong_buy"": {""hit_rate"": 0.4874429223744292, ""mean_utility"": -0.0005950519042246625, ""n"": 876.0}, ""strong_sell"": {""hit_rate"": 0.4714611872146119, ""mean_utility"": -0.001404948095775339, ""n"": 876.0}}}}"
ahp_topsis_prior,3,6,-81.553255,-80.0,-8.510504,0.0,"{""criteria"": [[0.035668329562561406, 1.2220620228389576, 0.002667536730703844, 1.0, 0.9181929181929182], [0.0023932735644014956, 0.07940061730511441, 0.0012820679775170595, 0.0, 0.9804639804639804], [0.0227700826086116, 0.7378268556802658, 0.00030349315073619973, 0.0, 0.12869352869352868], [0.039129691913618175, 1.280217482238812, 0.0028289113972274783, 1.0, 0.8456654456654457]], ""criteria_weights"": [0.45, 0.2, 0.2, 0.1, 0.05]}"
baseline_fixed,4,6,-50.0,-15.0,15.0,50.0,{}
threshold_optimized,4,6,-80.0,-75.0,0.0,15.0,{}
ridge_linear,4,6,-80.0,-30.0,30.0,37.778446,"{""feature_means"": {""momentum"": 8.593487747566298, ""oscillation"": -5.740181268882175, ""tendance"": 11.816045652903659, ""volume"": 21.299093655589125}, ""feature_stds"": {""momentum"": 98.40965463526494, ""oscillation"": 33.19125258515015, ""tendance"": 95.2093066997567, ""volume"": 91.39472159337322}}"
isotonic_calibrated,4,6,-50.0,-15.0,15.0,50.0,"{""increasing"": true, ""x_thresholds"": [-100.0, -75.0, -66.66666666666667, 0.0, 25.0, 33.333333333333336, 100.0], ""y_thresholds"": [-0.022628467861295992, 0.00013560338884453823, 0.000183735333897553, 0.000183735333897553, 0.0028255546312035123, 0.003714719188702904, 0.003714719188702904]}"
