symbol,statement_year,metric_name,n_distinct_values,min_value,max_value,ratio_max_min,sources_involved,classification,n_raw_rows
CSR,2025,NetIncome,2,703700000.0,704000000.0,1.0004263180332529,bvc;stockanalysis,B_harmless_equivalent,2
CTM,2020,EBITDA,2,-76000000.0,33555000.0,0.44151315789473683,workbook,E_source_disagreement_sign_flip,4
CTM,2021,EBITDA,3,25438000.0,125570000.0,4.936315748093404,stockanalysis;workbook,E_source_disagreement,6
CTM,2022,EBITDA,3,5803000.0,105770000.0,18.226779252110976,stockanalysis;workbook,E_source_disagreement,6
CTM,2023,EBITDA,3,53000000.0,145142000.0,2.7385283018867925,stockanalysis;workbook,E_source_disagreement,6
CTM,2024,EBITDA,2,124560000.0,133742000.0,1.0737154784842646,stockanalysis;workbook,E_source_disagreement,3
CTM,2024,EnterpriseValue,2,667809438.0,700033438.0,1.0482532862915304,workbook,E_source_disagreement,4
DHO,2021,Cash,2,379550000.0,379552156.49,1.0000056817020155,bvc;stockanalysis,B_harmless_equivalent,3
DHO,2021,EBITDA,2,378410000.0,405333408.27,1.0711487758515894,bvc;stockanalysis;workbook,E_source_disagreement,4
DHO,2021,NetIncome,2,172040000.0,182009286.08,1.057947489421065,bvc;stockanalysis,E_source_disagreement,3
DHO,2021,Revenue,2,2538364899.13,2542000000.0,1.0014320639523677,bvc;stockanalysis,E_source_disagreement,3
DHO,2021,Total_Debt,2,260263128.7,463870000.0,1.782311625611377,bvc;stockanalysis,E_source_disagreement,3
DHO,2021,Total_Equity,2,2366552863.55,2367000000.0,1.0001889399797008,bvc;stockanalysis,B_harmless_equivalent,3
DHO,2022,Cash,2,156600000.0,156603184.84,1.0000203374201788,bvc;stockanalysis,B_harmless_equivalent,3
DHO,2022,EBITDA,2,453450176.75,456170000.0,1.0059980641522597,bvc;stockanalysis;workbook,E_source_disagreement,4
DHO,2022,NetIncome,2,166250000.0,197345256.96,1.1870391396090225,bvc;stockanalysis,E_source_disagreement,3
DHO,2022,Revenue,2,2791937620.35,2797000000.0,1.0018132137384093,bvc;stockanalysis,E_source_disagreement,3
DHO,2022,Total_Debt,2,221615645.77,520680000.0,2.34947310778039,bvc;stockanalysis,E_source_disagreement,3
DHO,2022,Total_Equity,2,2463532532.75,2464000000.0,1.0001897548515335,bvc;stockanalysis,B_harmless_equivalent,3
DHO,2023,Cash,2,224550000.0,224552200.56,1.0000097998663995,bvc;stockanalysis,B_harmless_equivalent,3
DHO,2023,EBITDA,2,389670000.0,485597330.46,1.246175816614058,bvc;stockanalysis;workbook,E_source_disagreement,4
DHO,2023,NetIncome,2,188930000.0,188930907.1,1.0000048012491398,bvc;stockanalysis,B_harmless_equivalent,3
DHO,2023,Revenue,2,3132613640.58,3140000000.0,1.0023578903329529,bvc;stockanalysis,E_source_disagreement,3
DHO,2023,Total_Debt,2,1113133.67,280680000.0,252.15300512830595,bvc;stockanalysis,E_source_disagreement,4
DHO,2023,Total_Equity,2,2353397500.58,2536000000.0,1.0775910144270133,bvc;stockanalysis,E_source_disagreement,3
DHO,2024,Cash,2,361645915.47,361650000.0,1.0000112942793635,bvc;stockanalysis,B_harmless_equivalent,3
DHO,2024,EBITDA,2,489760000.0,547278102.57,1.117441405116792,bvc;stockanalysis;workbook,E_source_disagreement,4
DHO,2024,NetIncome,2,295380000.0,295382791.69,1.000009451181529,bvc;stockanalysis,B_harmless_equivalent,3
DHO,2024,Revenue,3,3137670704.52,3144000000.0,1.0020171955810666,bvc;stockanalysis,E_source_disagreement,4
DHO,2024,Total_Debt,2,87397739.34,163990000.0,1.8763643229035494,bvc;stockanalysis,E_source_disagreement,3
DHO,2024,Total_Equity,2,2515870473.6,2690000000.0,1.0692124368989613,bvc;stockanalysis,E_source_disagreement,3
DHO,2025,EBITDA,2,561620000.0,617428447.55,1.0993704774580677,bvc;stockanalysis;workbook,E_source_disagreement,4
DHO,2025,NetIncome,2,307190000.0,307191429.85,1.0000046546111527,bvc;stockanalysis,B_harmless_equivalent,3
DHO,2025,Revenue,3,3049817757.71,3101000000.0,1.0167820658006894,bvc;stockanalysis,E_source_disagreement,4
DHO,2025,Total_Equity,2,2618746244.31,2753000000.0,1.0512664241454115,bvc;stockanalysis,E_source_disagreement,3
DWY,2020,EBITDA,2,117332161.58,140692410.01,1.1990950146611967,workbook,E_source_disagreement,4
DWY,2021,Cash,2,63387450.63,63390000.0,1.0000402188441821,bvc;stockanalysis,B_harmless_equivalent,2
DWY,2021,EBITDA,3,168661418.18,198275415.51,1.1755825229596677,bvc;stockanalysis;workbook,E_source_disagreement,6
DWY,2021,EnterpriseValue,2,160495308.09,1299980000.0,8.099800645081897,workbook,E_source_disagreement,4
DWY,2021,NetIncome,2,107580000.0,113627546.51,1.0562144126231643,bvc;stockanalysis,E_source_disagreement,2
DWY,2021,Revenue,2,1824000000.0,1824062848.96,1.0000344566666668,bvc;stockanalysis,B_harmless_equivalent,2
DWY,2021,Total_Debt,2,16920619.22,50900000.0,3.0081641421158345,bvc;stockanalysis,E_source_disagreement,2
DWY,2021,Total_Equity,2,744706059.58,744710000.0,1.0000052912420268,bvc;stockanalysis,B_harmless_equivalent,2
DWY,2022,Cash,2,36796341.26,36800000.0,1.0000994321683818,bvc;stockanalysis,B_harmless_equivalent,2
DWY,2022,EBITDA,3,131110000.0,176849353.05,1.348862428876516,bvc;stockanalysis;workbook,E_source_disagreement,6
DWY,2022,EnterpriseValue,2,521523874.93,1616600000.0,3.0997622116858663,workbook,E_source_disagreement,4
DWY,2022,NetIncome,2,84640000.0,84640476.19,1.000005626063327,bvc;stockanalysis,B_harmless_equivalent,2
DWY,2022,Revenue,2,1950000000.0,1950400911.41,1.0002055955948719,bvc;stockanalysis,B_harmless_equivalent,2
DWY,2022,Total_Debt,2,99358340.71,390780000.0,3.9330366953347244,bvc;stockanalysis,E_source_disagreement,2
DWY,2022,Total_Equity,2,669080000.0,669082796.86,1.0000041801578288,bvc;stockanalysis,B_harmless_equivalent,2
DWY,2023,Cash,2,40420000.0,40423685.47,1.00009117936665,bvc;stockanalysis,B_harmless_equivalent,2
DWY,2023,EBITDA,2,134600000.0,158282906.24,1.1759502692421993,bvc;stockanalysis;workbook,E_source_disagreement,6
DWY,2023,NetIncome,2,65518530.74,65520000.0,1.0000224251060488,bvc;stockanalysis,B_harmless_equivalent,2
DWY,2023,Revenue,2,1869587153.14,1870000000.0,1.0002208224737246,bvc;stockanalysis,B_harmless_equivalent,2
DWY,2023,Total_Debt,2,83711348.18,316360000.0,3.7791769799209076,bvc;stockanalysis,E_source_disagreement,2
DWY,2023,Total_Equity,2,668495031.74,668500000.0,1.000007432007366,bvc;stockanalysis,B_harmless_equivalent,2
DWY,2024,Cash,2,58106908.5,58110000.0,1.0000532036564982,bvc;stockanalysis,B_harmless_equivalent,2
DWY,2024,EBITDA,2,110770000.0,133477805.79,1.2049996008847161,bvc;stockanalysis;workbook,E_source_disagreement,6
DWY,2024,NetIncome,2,78847540.18,78850000.0,1.0000311971685405,bvc;stockanalysis,B_harmless_equivalent,2
DWY,2024,Revenue,2,1904636547.34,1905000000.0,1.0001908252052119,bvc;stockanalysis,B_harmless_equivalent,2
DWY,2024,Total_Debt,2,69280305.2,313600000.0,4.526538950639611,bvc;stockanalysis,E_source_disagreement,2
DWY,2024,Total_Equity,2,675926208.81,675930000.0,1.0000056088814884,bvc;stockanalysis,B_harmless_equivalent,2
DWY,2025,Cash,2,100078076.7,100080000.0,1.0000192179952234,bvc;stockanalysis,B_harmless_equivalent,2
DWY,2025,EBITDA,2,121330000.0,140623894.22,1.1590199803840764,bvc;stockanalysis;workbook,E_source_disagreement,6
DWY,2025,NetIncome,2,85457931.76,85460000.0,1.0000242018494645,bvc;stockanalysis,B_harmless_equivalent,2
DWY,2025,Revenue,2,2076000000.0,2076183751.05,1.000088512066474,bvc;stockanalysis,B_harmless_equivalent,2
DWY,2025,Total_Debt,2,61523985.94,337420000.0,5.484365078833838,bvc;stockanalysis,E_source_disagreement,2
DWY,2025,Total_Equity,2,685850000.0,685851758.64,1.00000256417584,bvc;stockanalysis,B_harmless_equivalent,2
DYT,2021,Cash,2,15667463.68,15670000.0,1.0001618845303748,bvc;stockanalysis,B_harmless_equivalent,2
DYT,2021,NetIncome,2,18270000.0,18270592.97,1.0000324559386973,bvc;stockanalysis,B_harmless_equivalent,2
DYT,2021,Revenue,2,453910000.0,456071359.39,1.0047616474411227,bvc;stockanalysis,E_source_disagreement,2
DYT,2021,Total_Debt,2,7968964.28,72120000.0,9.050109583374867,bvc;stockanalysis,E_source_disagreement,2
DYT,2021,Total_Equity,2,104570000.0,104573207.61,1.000030674285168,bvc;stockanalysis,B_harmless_equivalent,2
DYT,2022,Cash,2,17050000.0,17052068.81,1.0001213378299119,bvc;stockanalysis,B_harmless_equivalent,2
DYT,2022,NetIncome,2,4130000.0,4134452.49,1.0010780847457628,bvc;stockanalysis,E_source_disagreement,2
DYT,2022,Revenue,2,496585926.06,496590000.0,1.0000082038974247,bvc;stockanalysis,B_harmless_equivalent,2
DYT,2022,Total_Debt,2,6092742.27,157920000.0,25.919363236088437,bvc;stockanalysis,E_source_disagreement,2
DYT,2022,Total_Equity,2,162429915.14,162430000.0,1.000000522440709,bvc;stockanalysis,B_harmless_equivalent,2
DYT,2023,Cash,2,10446121.29,10450000.0,1.000371306238203,bvc;stockanalysis,B_harmless_equivalent,2
DYT,2023,NetIncome,2,18780000.0,18784423.86,1.0002355623003194,bvc;stockanalysis,B_harmless_equivalent,2
DYT,2023,Revenue,2,540829892.43,540830000.0,1.0000001988980298,bvc;stockanalysis,B_harmless_equivalent,2
DYT,2023,Total_Debt,2,4164942.77,149950000.0,36.00289566523864,bvc;stockanalysis,E_source_disagreement,2
DYT,2023,Total_Equity,2,171230000.0,171233239.0,1.0000189160777901,bvc;stockanalysis,B_harmless_equivalent,2
DYT,2024,Cash,2,11270000.0,11274557.87,1.0004044250221826,bvc;stockanalysis,B_harmless_equivalent,2
DYT,2024,EBITDA,2,30300000.0,31704106.16,1.0463401372937293,bvc;stockanalysis;workbook,E_source_disagreement,3
DYT,2024,NetIncome,2,19360000.0,19364056.78,1.0002095444214876,bvc;stockanalysis,B_harmless_equivalent,2
DYT,2024,Revenue,2,547830000.0,547834555.13,1.0000083148604495,bvc;stockanalysis,B_harmless_equivalent,2
DYT,2024,Total_Debt,2,2138400.48,106680000.0,49.88775535628387,bvc;stockanalysis,E_source_disagreement,2
DYT,2024,Total_Equity,2,175625645.78,175630000.0,1.0000247926205803,bvc;stockanalysis,B_harmless_equivalent,2
DYT,2025,Cash,2,41060000.0,41060614.04,1.0000149547004384,bvc;stockanalysis,B_harmless_equivalent,2
