document_id,tagged_symbol,actual_company_name,document_title,source_url,publication_date,fiscal_year
176,REB,MAGHREBAIL,Maghrebail : Rapport financier annuel 2020,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MAB/fr/MAB_RFA_2020_fr.pdf,2021-06-01,2020
2509,REB,MAGHREB OXYGENE,Maghreb Oxygène : Résultats de votes à l'assemblée générale,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MOX/fr/Mox_votesago_19_fr.pdf,2020-05-06,2020
261,REB,SOCIETE DE PROMOTION PHARMACEUTIQUE DU MAGHREB S.A,Promopharm : Comptes annuels 2020,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/PRO/fr/PRO_RFA_2020_fr.pdf,2021-04-30,2020
264,REB,MAGHREBAIL,Maghrebail : Comptes annuels de l'exercice 2020,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MAB/fr/MAB_RFA_20_fr.pdf,2021-04-30,2020
2504,REB,SOCIETE MAGHREBINE DE MONETIQUE,S2M : Convocation en assemblée ordinaire,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/S2M/fr/S2M_conago_20_fr.pdf,2020-06-01,2020
2499,REB,MAGHREB OXYGENE,Maghreb Oxygène : Profit warning ,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MOX/fr/MOX_PW_S1_20_fr.pdf,2020-08-27,2020
2486,REB,SOCIETE MAGHREBINE DE MONETIQUE,S2M : NI / Offre publique d'achat obligatoire,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/S2M/fr/NI_OPA_S2M_20_fr.pdf,2020-09-21,2020
2481,REB,MAGHREB OXYGENE,Maghreb Oxygène : Comptes au 30 juin 2020,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MOX/fr/MOX_S1_20_fr.pdf,2020-09-22,2020
2447,REB,MAGHREB OXYGENE,Maghreb Oxygène : Résultats financiers 2020 et avis de convocation à l'AGO du 25 mars 2021,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MOX/fr/MOX%20_Rst_2020_fr.pdf,2021-02-24,2020
2427,REB,SOCIETE DE PROMOTION PHARMACEUTIQUE DU MAGHREB S.A,Promopharm : Résultats 2020,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/PRO/fr/PRO_RESULT_2020_fr.pdf,2021-03-31,2020
2285,REB,MAGHREBAIL,Maghrebail : Indicateurs du 1er trimestre 2020,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MAB/fr/MAB_1T_2020_fr.pdf,2020-05-28,2020
2284,REB,MAGHREBAIL,Maghrebail : Indicateurs du 2ème trimestre 2020,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MAB/fr/MAB_1S_2020_fr.pdf,2020-08-31,2020
2137,REB,MAGHREBAIL,Maghrebail : Indicateurs du 4ème trimestre 2020,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MAB/fr/MAB_T4_2020_fr.pdf,2021-02-25,2020
2086,REB,SOCIETE MAGHREBINE DE MONETIQUE,S2M : Indicateurs du 1er trimestre 2020   ,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/S2M/fr/S2M_T1_20_fr.pdf,2020-06-01,2020
2075,REB,SOCIETE MAGHREBINE DE MONETIQUE,S2M : Indicateurs du 2ème trimestre 2020,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/S2M/fr/S2M_T2_20_fr.pdf,2020-08-31,2020
2070,REB,MAGHREB OXYGENE,Maghreb Oxygène : Indicateurs du 3e trimestre 2020,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MOX/fr/MOX_ind_3T_20_fr.pdf,2020-11-26,2020
2066,REB,MAGHREBAIL,Maghrebail : Indicateurs du 3ème trimestre 2020,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MAB/fr/MAB_T3_2020_fr.pdf,2020-11-27,2020
2058,REB,SOCIETE MAGHREBINE DE MONETIQUE,S2M : Indicateurs du 3ème trimestre 2020,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/S2M/fr/S2M_T3_20_fr.pdf,2020-11-30,2020
2045,REB,SOCIETE MAGHREBINE DE MONETIQUE,S2M : Indicateurs du 4ème trimestre 2020,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/S2M/fr/S2M_T4_20_fr.pdf,2021-02-27,2020
1925,REB,MAGHREB OXYGENE,Maghreb Oxygène : Indicateurs du 1er trimestre 2020,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MOX/fr/MOX_ind_1T_20_fr.pdf,2020-05-28,2020
1922,REB,SOCIETE DE PROMOTION PHARMACEUTIQUE DU MAGHREB S.A,Promopharm : Indicateurs du 1er trimestre 2020,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/PRO/fr/PRO_T1_20_fr.pdf,2020-05-29,2020
1916,REB,MAGHREB OXYGENE,Maghreb Oxygène : Indicateurs du 2ème trimestre 2020,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MOX/fr/MOX_ind_2T_20_fr.pdf,2020-08-27,2020
1911,REB,SOCIETE DE PROMOTION PHARMACEUTIQUE DU MAGHREB S.A,Promopharm : Indicateurs du 2ème trimestre 2020,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/PRO/fr/PRO_T2_20_fr.pdf,2020-08-31,2020
1907,REB,SOCIETE DE PROMOTION PHARMACEUTIQUE DU MAGHREB S.A,Promopharm : Indicateurs du 3ème trimestre 2020,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/PRO/fr/PRO_T3_20_fr.pdf,2020-11-23,2020
393,REB,MAGHREB OXYGENE,Maghreb Oxygène : CP financier relatif aux résultats 2021,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MOX/fr/CP_MOX_RA_2021_fr.pdf,2022-03-10,2021
1358,REB,SOCIETE MAGHREBINE DE MONETIQUE,S2M : indicateurs du 4ème trimestre 2021,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/S2M/fr/CP_S2M_T4_21_fr.pdf,2022-02-28,2021
694,REB,MAGHREBAIL,Maghrebail : CP financier relatif aux résultats 2021,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MAB/fr/CP_MAB_RESULTATS_2021_fr.pdf,2022-03-14,2021
257,REB,MAGHREBAIL,Maghrebail : Résultats financiers 2021,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MAB/fr/Maghrebail_CP%20RFA%202021_fr.pdf,2022-04-29,2021
192,REB,SOCIETE MAGHREBINE DE MONETIQUE,S2M : CP résultats financiers 2021,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/S2M/fr/S2M_CP_RFA_2021_fr.pdf,2022-04-29,2021
1072,REB,SOCIETE MAGHREBINE DE MONETIQUE,S2M : CP financier relatif aux résultats 2021,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/S2M/fr/CP_S2M_RESULTATS_2021_fr.pdf,2022-03-31,2021
1844,REB,MAGHREB OXYGENE,Maghreb Oxygène : indicateurs du 4ème trimestre 2021,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MOX/fr/MOX_T4_21_fr.pdf,2022-02-28,2021
1880,REB,SOCIETE DE PROMOTION PHARMACEUTIQUE DU MAGHREB S.A,Promopharm : Indicateurs du 1er trimestre 2021,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/PRO/fr/PRO_T1_21_fr.pdf,2021-05-31,2021
1867,REB,SOCIETE DE PROMOTION PHARMACEUTIQUE DU MAGHREB S.A,Promopharm : Indicateurs du 2ème trimestre 2021,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/PRO/fr/PRO_IND_T2_21_fr.pdf,2021-08-31,2021
1856,REB,SOCIETE DE PROMOTION PHARMACEUTIQUE DU MAGHREB S.A,Promopharm : Indicateurs du 3ème trimestre 2021,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/PRO/fr/PRO_T3_21_fr.pdf,2021-11-29,2021
2026,REB,MAGHREB OXYGENE,Maghreb Oxygène : Indicateurs du 2ème trimestre 2021,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MOX/fr/MOX_IND_T2_21_fr.pdf,2021-08-31,2021
1887,REB,MAGHREB OXYGENE,Maghreb Oxygène : Indicateurs du 1er trimestre 2021,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MOX/fr/MOX_T1_2021_fr.pdf,2021-05-27,2021
167,REB,SOCIETE DE PROMOTION PHARMACEUTIQUE DU MAGHREB S.A,Promopharm: Résultats financiers 2021,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/PRO/fr/Promopharm%20-%20CP%20RFA%202021_fr.pdf,2022-04-29,2021
770,REB,SOCIETE DE PROMOTION PHARMACEUTIQUE DU MAGHREB S.A,Promopharm : CP financier relatif aux résultats 2021,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/PRO/fr/CP_PRO_RESULTATS_2021_fr.pdf,2022-03-31,2021
2376,REB,MAGHREB OXYGENE,Maghreb Oxygène  : Comptes du 1er semestre 2021,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MOX/fr/MOX_COMPTES_S1_21_fr.pdf,2021-10-01,2021
2363,REB,SOCIETE DE PROMOTION PHARMACEUTIQUE DU MAGHREB S.A,Promopharm : Rapport financier au 30 juin 2021,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/PRO/fr/PRO_RFS_21_fr.pdf,2021-10-04,2021
